,rounds,winner_of_1,winner_of_2
0,round_of_8_0,round_of_16_0,round_of_16_6
1,round_of_8_1,round_of_16_1,round_of_16_7
2,round_of_8_2,round_of_16_5,round_of_16_3
3,round_of_8_3,round_of_16_4,round_of_16_2
