,rounds,winner_of_1,winner_of_2
0,round_of_16_0,round_of_32_0,round_of_32_12
1,round_of_16_1,round_of_32_1,round_of_32_13
2,round_of_16_2,round_of_32_2,round_of_32_14
3,round_of_16_3,round_of_32_3,round_of_32_15
4,round_of_16_4,round_of_32_8,round_of_32_4
5,round_of_16_5,round_of_32_9,round_of_32_5
6,round_of_16_6,round_of_32_10,round_of_32_6
7,round_of_16_7,round_of_32_11,round_of_32_7
